audio,transcripts
LSGS_SION_Ground_Control_121_7MHz_20210503_150149.wav,"['[noise] break break [#callsign]Mosquito[/#callsign] [#callsign]One[/#callsign] [#callsign]Five[/#callsign] [#callsign]Bravo[/#callsign] [#value]two[/#value] [#value]five[/#value] [#value]zero[/#value] [#value]degrees[/#value] [#value]one[/#value] [#value]zero[/#value] [#value]knots[/#value] [#value]runway[/#value] [#value]two[/#value] [#value]five[/#value] [#command]cleared[/#command] [#command]to[/#command] [#command]land[/#command]', '[#command]cleared[/#command] [#command]to[/#command] [#command]land[/#command] [#value]runway[/#value] [#value]two[/#value] [#value]five[/#value] [#callsign]Mosquito[/#callsign] [#callsign]One[/#callsign] [#callsign]Five[/#callsign] [#callsign]Bravo[/#callsign]']"
LZIB_STEFANIK_Tower_118_3MHz_20210505_121412.wav,['Elite Jet Two Zero One and via foxtrot line up three one report ready']
LSZB_BERN_Tower_121_0MHz_20210413_144653.wav,['Hotel Quebec Juliett traffic Piper single engine [hes] position three miles south of your position proceeding towards Willisau four thousand feet indicating not verified']
LZIB_STEFANIK_Tower_118_3MHz_20210503_203710.wav,"['Oscar Mike Echo Lima Echo taxi between anchors via foxtrot', 'taxi between anchors via foxtrot Oscar Mike Echo Lima Echo']"
LSGS_SION_Tower_118_3MHz_20210503_130038.wav,"['[#callsign]Three[/#callsign] [#callsign]Five[/#callsign] [#callsign]Five[/#callsign] [#command]you[/#command] [#command]may[/#command] [#command]leave[/#command] [#command]frequency[/#command] [#unnamed][NE-French]a[/#unnamed] [#unnamed]toute[/NE][/#unnamed]', '[#unnamed][NE-French]a[/#unnamed] [#unnamed]toute[/NE][/#unnamed] [#callsign]Three[/#callsign] [#callsign]Five[/#callsign] [#callsign]Five[/#callsign]']"
YSSY_SYDNEY_Tower_120_5MHz_20210502_211912.wav,"['Jetstar Nine Twelve contact departure', 'Jetstar Nine Twelve']"
LSGS_SION_Ground_Control_121_7MHz_20210502_164218.wav,"['[#callsign]Lufthansa[/#callsign] [#callsign]Mike[/#callsign] [#command]which[/#command] [#command]parking[/#command]', '[#callsign]Lufthansa[/#callsign] [#callsign]Mike[/#callsign] [#command]continue[/#command] [#value]for[/#value] [#value]what[/#value] [hes] [#value]two[/#value] [#value]zero[/#value] [#value]meters[/#value] [#command]and[/#command] [#command]then[/#command] [#command]will[/#command] [#command]be[/#command] [#command]first[/#command] [#command]a[/#command] [#command]yellow[/#command] [#command]light[/#command] [#value]to[/#value] [#value]the[/#value] [#value]right[/#value]']"
LSGS_SION_Ground_Control_121_7MHz_20210504_070027.wav,['[#callsign]Mosquito[/#callsign] [#callsign]Six[/#callsign] [#callsign]Zero[/#callsign] [#callsign]Echo\xa0[/#callsign] [#unnamed]ready[/#unnamed] [#unnamed]to[/#unnamed] [#unnamed]check[/#unnamed]']
LKTB_BRNO_Approach-Radar_127_350MHz_20201027_095221.wav,['Oscar Kilo Bravo Alfa Lima after Bukap descend to three thousand feet cleared RNP approach runway two seven report established']
LSZH_ZURICH_ApronS_121_75MHz_20210414_075710.wav,['United One Three Five apron hello push back and startup is approved']
LSZH_ZURICH_ApronS_121_75MHz_20210414_092130.wav,['Turkish Three Whiskey Quebec taxi via echo and echo seven hold short of runway one six']
YSSY_SYDNEY_Tower_120_5MHz_20210502_040816.wav,"['Sydney tower Qantas Six Forty Two', 'Qantas Six Forty Two Sydney tower good day']"
LSZH_ZURICH_Tower_118_1MHz_20210412_161648.wav,['Finnair Five Delta Lima vacated own discretion wind one four zero degrees five knots runway one four cleared to land']
LZIB_STEFANIK_Tower_118_3MHz_20210427_162200.wav,"['Bair Seven One Two taxi via delta line up runway zero four', 'via delta line up zero four Bair Seven One Two']"
LSGS_SION_Ground_Control_121_7MHz_20210502_164016.wav,['[#callsign]Hotel[/#callsign] [#callsign]Papa[/#callsign] [#callsign]Mike[/#callsign] [#value]one[/#value] [#unnamed]speed[/#unnamed] [#unnamed]visual[/#unnamed] [#unnamed]control[/#unnamed] [#command]make[/#command] [#value]one[/#value] [#value]eighteen[/#value] [#command]backtrack[/#command] [#command]to[/#command] [#value]vacate[/#value] [#value]at[/#value] [#value]alpha[/#value]']
YSSY_SYDNEY_Tower_120_5MHz_20210504_011805.wav,['one six right cleared to land Qlink Two Zero Six Delta']
YSSY_SYDNEY_Tower_120_5MHz_20210501_014446.wav,"['[#unnamed]tower[/#unnamed] [#unnamed]good[/#unnamed] [#unnamed]afternoon[/#unnamed] [#callsign]Emirates[/#callsign] [#callsign]Nine[/#callsign] [#callsign]Two[/#callsign] [#callsign]Four[/#callsign] [#callsign]Two[/#callsign] [#command]cleared[/#command] [#command]ILS[/#command] [#value]three[/#value] [#value]four[/#value] [#value]left[/#value] [#value]seven[/#value] [#value]miles[/#value] [#value]final[/#value]', '[#callsign]Emirates[/#callsign] [#callsign]Nine[/#callsign] [#callsign]Two[/#callsign] [#callsign]Fourty[/#callsign] [#callsign]Two[/#callsign] [#callsign]heavy[/#callsign] [#unnamed]Sydney[/#unnamed] [#unnamed]tower[/#unnamed] [#unnamed]good[/#unnamed] [#unnamed]afternoon[/#unnamed] [#command]continue[/#command] [#command]approach[/#command]']"
LKTB_BRNO_Approach-Radar_127_350MHz_20201027_114659.wav,['Oscar Kilo Bravo Alfa Lima request shortcut to\xa0 Vlasim if possible']
YSSY_SYDNEY_Tower_120_5MHz_20210502_235050.wav,"['tower Viet Nam Seven Seven Three good morning', 'Viet Nam Seven Seven Three heavy Sydney tower good morning continue approach threshold wind two seven zero degrees seven knots']"
LSZH_ZURICH_Tower_118_1MHz_20210414_173215.wav,['[#callsign]Hotel[/#callsign] [#callsign]Lima[/#callsign] [#callsign]Hotel\xa0[/#callsign] [#unnamed]wind[/#unnamed] [#value]zero[/#value] [#value]one[/#value] [#value]zero[/#value] [#value]degrees[/#value] [#value]one[/#value] [#value]zero[/#value] [#value]knots[/#value] [#value]runway[/#value] [#value]one[/#value] [#value]zero[/#value] [#command]cleared[/#command] [#command]to[/#command] [#command]land[/#command]']
LSZB_BERN_Tower_121_0MHz_20210421_094113.wav,"[""Hotel Golf Papa unknown VFR traffic a helicopter at your eleven o'clock position two miles same altitude opposite direction""]"
LSZB_BERN_Tower_121_0MHz_20210413_125843.wav,['Hotel Golf Papa make a one eighty stay clear of the runway taxi to holding point foxtrot']
LKTB_BRNO_Tower_119_605MHz_20201027_112131.wav,['Oscar Kilo Mike Charlie Charlie runway two seven cleared for low approach wind three two zero degrees five knots after low approach continue straight ahead climb to three thousand feet']
YSSY_SYDNEY_Tower_120_5MHz_20210505_041424.wav,['runway one six right cleared to land Qantas Four Forty Four']
LSGS_SION_Tower_118_3MHz_20210421_082534.wav,['Hotel Bravo Whiskey Zulu Hotel Sion Tower report']
LZIB_STEFANIK_Tower_118_3MHz_20210505_093242.wav,['Stefanik tower [NE Slovak] dobrý deň [/NE] Elite Jet Eight Zero One crossing two right base runway one three']
LSGS_SION_Ground_Control_121_7MHz_20210502_065138.wav,"['[#unnamed]Sion[/#unnamed] [#callsign]November[/#callsign] [#callsign]Seven[/#callsign] [#callsign]One[/#callsign] [#callsign]Six[/#callsign] [#callsign]Alpha[/#callsign] [#callsign]Sierra[/#callsign] [#unnamed]Alpine[/#unnamed] [#unnamed]jet[/#unnamed] [#unnamed]ready[/#unnamed] [#unnamed]for[/#unnamed] [#unnamed]taxi[/#unnamed]', '[#callsign]November[/#callsign] [#callsign]Alpha[/#callsign] [#callsign]Sierra\xa0[/#callsign] [#unnamed]taxi[/#unnamed] [#unnamed]to[/#unnamed] [#value]holding[/#value] [#value]point[/#value] [#value]\xa0delta[/#value]', '[#value]holding[/#value] [#value]point[/#value] [#callsign]\xa0November[/#callsign] [#callsign]Seven[/#callsign] [#callsign]One[/#callsign] [#callsign]Six[/#callsign] [#callsign]Alpha[/#callsign] [#callsign]Sierra[/#callsign]']"
LSZH_ZURICH_ApronS_121_75MHz_20210414_114326.wav,['Vista Jet Four Three Seven turn left via taxiway alpha echo six hold short runway one six']
LSZH_ZURICH_Tower_118_1MHz_20210418_102439.wav,['Hotel Bravo Yankee Juliett Golf good afternoon behind you lining up PG Twenty Four line up runway two eight behind']
LKTB_BRNO_Tower_119_605MHz_20201029_060626.wav,"['tower good morning Quality Four Zero Eight Niner fully established on the runway zero nine', 'Quality Four Zero Eight Niner Turany tower good morning runway zero niner cleared to land wind is calm']"
LSGS_SION_Ground_Control_121_7MHz_20210503_083741.wav,['[#callsign]Foxtrot[/#callsign] [#callsign]Lima[/#callsign] [#callsign]Delta[/#callsign] [#unnamed]Sion[/#unnamed] [#unnamed]bonjour[/#unnamed] [#unnamed]QNH[/#unnamed] [#value]one[/#value] [#value]zero[/#value] [#value]two[/#value] [#value]three[/#value] [#unnamed]wind[/#unnamed] [#value]calm[/#value] [#value]runway[/#value] [#value]two[/#value] [#value]five[/#value] [#command]cleared[/#command] [#command]for[/#command] [#command]takeoff[/#command] [#command]report[/#command] [#value]november[/#value] [#value]whiskey[/#value]']
LSGS_SION_Ground_Control_121_7MHz_20210501_065354.wav,['[#callsign]Hotel[/#callsign] [#callsign]Echo[/#callsign] [#callsign]X-ray[/#callsign] [#command]report[/#command] [#unnamed]downwind[/#unnamed] [#unnamed]wind[/#unnamed] [#value]calm[/#value] [#value]runway[/#value] [#value]two[/#value] [#value]five[/#value] [#command]cleared[/#command] [#command]for[/#command] [#command]takeoff[/#command]']
LZIB_STEFANIK_Tower_118_3MHz_20210428_203205.wav,['startup push back approved position to Foxtrot squawk four four zero seven Eurotrans One Three Juliett']
LSZB_BERN_Tower_121_0MHz_20210413_165415.wav,['Hotel Bravo November Bravo Hotel crossing direction Grenchen four thousand five hundred feet is approved QNH one zero two six']
LSGS_SION_Tower_118_3MHz_20210420_153053.wav,['Hotel Bravo Three Zero Four Nine Sion Tower good afternoon']
YSSY_SYDNEY_Tower_120_5MHz_20210427_063034.wav,"['turning air cross nine twenty three heavy', 'contract nine twenty three heavy Sydney tower good day']"
LSGS_SION_Ground_Control_121_7MHz_20210503_153902.wav,['[#callsign]Foxtrot[/#callsign] [#callsign]Delta[/#callsign] [#callsign]Uniform[/#callsign] [#command]line[/#command] [#command]up[/#command] [#command]and[/#command] [#command]wait[/#command] [#value]via[/#value] [#value]intersection[/#value] [#value]alpha[/#value] [#unnamed]QNH[/#unnamed] [#value]one[/#value] [#value]zero[/#value] [#value]one[/#value] [#value]seven[/#value]']
LSZH_ZURICH_Tower_118_1MHz_20210414_080802.wav,"['United One Three Five tower hello behind Lufthansa line up runway two eight behind', 'United One Three Five behind Lufthansa line up runway']"
LZIB_STEFANIK_Approach_120_9MHz_20210426_203133.wav,"['right so then yeah Tovka one kilo would be much better Eurotrans [hes] One Three Juliett thank you', 'Eurotrans One Three Juliett roger so recleared via Tovka one kilo departure of runway three one initial climb five thousand feet', 'recleared at Tovka one kilo departure runway three initial climb five thousand feet and request push and start Eurotrans One Three Juliett', 'Eurotrans One Three Juliett push and start approved facing foxtrot and squawk four four zero three']"
YSSY_SYDNEY_Tower_120_5MHz_20210502_012007.wav,['runway three four left cleared to land then request above three two bravo four if available Jetstar Four Zero Nine']
LSZB_BERN_Tower_121_0MHz_20210413_124225.wav,['Hotel Golf Oscar number two number one short final runway one four']
LSZH_ZURICH_Tower_118_1MHz_20210424_160722.wav,"[""Sierra Papa Foxtrot Bravo Alpha tower hello hold position i'll call you back""]"
LKPR_RUZYNE_Radar_120_520MHz_20201026_105217.wav,"['Speedbird Eight Five Five Praha Radar identified climb flight level one six zero', 'one six zero Speedbird Eight Five Five']"
LSZB_BERN_Tower_121_0MHz_20210414_103845.wav,['roger Bravo Three Zero Four Three affirm climb maximum five thousand five hundred feet']
LKTB_BRNO_Approach-Radar_127_350MHz_20201028_135638.wav,['Oscar Kilo Kilo Kilo Whiskey descend to five thousand feet QNH one zero one six']
LSZH_ZURICH_Tower_118_1MHz_20210413_105440.wav,"['Swiss Two Zero Four Kilo departure bye', 'departure good bye Swiss Two Zero Four Kilo']"
LSZB_BERN_Tower_121_0MHz_20210424_082145.wav,['Hotel Kilo Delta the advised traffic is now over whiskey one']
LSGS_SION_Ground_Control_121_7MHz_20210502_062018.wav,"['[#callsign]Hotel[/#callsign] [#callsign]Echo[/#callsign] [#callsign]X-ray\xa0[/#callsign] [#value]number[/#value] [#value]one[/#value] [#command]report[/#command] [#value]final[/#value]', '[#value]number[/#value] [#value]one[/#value] [#command]report[/#command] [#value]final[/#value]\xa0 [#callsign]Hotel[/#callsign] [#callsign]Echo[/#callsign] [#callsign]X-ray[/#callsign]']"
LKPR_RUZYNE_Tower_134_560MHz_20201025_144043.wav,"['Ruzyne Tower hello again Eurowings One Tango Kilo', 'Eurowings One Tango Kilo Ruzyne Tower good afternoon go ahead', '[hes] just a question do you think there any chance to get runway two four for departure', 'unfortunately with delay because there are five aircraft on runway zero six landing', 'okay copy thank you']"
LSGS_SION_Ground_Control_121_7MHz_20210504_065614.wav,"[""[#unnamed]Sion[/#unnamed] [#callsign]Heli[/#callsign] [#callsign]Hotel[/#callsign] [#callsign]Bravo[/#callsign] [#callsign]Zulu[/#callsign] [#callsign]Charlie[/#callsign] [#callsign]Zulu[/#callsign] [#command]we[/#command] [#command]just[/#command] [#command]upon[/#command] [#value]Val-d'Annivier[/#value] [#value]low[/#value] [#value]altitude[/#value] [#value]for[/#value] [#value]hook[/#value] [#value]mission[/#value] [#command]etablished[/#command] [#value]for[/#value] [#value]one[/#value] [#value]low[/#value] [#value]altitude[/#value]""]"
LSZB_BERN_Tower_121_0MHz_20210416_083545.wav,['Heli Oscar Bravo are you ready for expedition crossing otherwise you have to hold on']
LSGS_SION_Ground_Control_121_7MHz_20210503_083922.wav,['[#unnamed]thank[/#unnamed] [#unnamed]you[/#unnamed] [#unnamed]QNH[/#unnamed] [#value]is[/#value] [#value]one[/#value] [#value]zero[/#value] [#value]two[/#value] [#value]three[/#value]']
LKPR_RUZYNE_Radar_120_520MHz_20201025_120512.wav,['Oscar Kilo Kilo Echo Alfa Praha Radar identified climb flight level one hundred IFR flight starts [hes] now time zero five cleared to destination via flight plan route']
LSGS_SION_Ground_Control_121_7MHz_20210503_152953.wav,"['[#unnamed]hello[/#unnamed] [#unnamed]tower[/#unnamed] [#callsign]helicopter[/#callsign] [#callsign]India[/#callsign] [#callsign]Juliett[/#callsign] [#unnamed]hello[/#unnamed] [#unnamed]again[/#unnamed] [#value]we[/#value] [#value]are[/#value] [#command]descending[/#command] [#value]Croix[/#value] [#value]de[/#value] [#value]Coeur[/#value] [#value]six[/#value] [#value]thousand[/#value] [#value]feet[/#value] [#value]six[/#value] [#value]thousand[/#value] [#value]eight[/#value] [#value]hundred[/#value] [#value]feet[/#value] [#command]descend[/#command] [#command]to[/#command] [#value]left[/#value] [#value]five[/#value] [#value]two[/#value]', '[#callsign]India[/#callsign] [#callsign]Juliett[/#callsign] [#command]report[/#command] [#value]hotel[/#value] [#value]sierra[/#value] [#value]or[/#value] [#value]golf[/#value] [#value]sierra[/#value] [#unnamed]QNH[/#unnamed] [#value]one[/#value] [#value]zero[/#value] [#value]one[/#value] [#value]seven[/#value]']"
LSGS_SION_Ground_Control_121_7MHz_20210503_143715.wav,"['[#callsign]Lima[/#callsign] [#callsign]Mike[/#callsign] [#callsign]Juliett[/#callsign] [#callsign]Two[/#callsign] [#callsign]Four[/#callsign] [#callsign]Nine[/#callsign] [#callsign]Lima[/#callsign] [#command]climb[/#command] [#value]flight[/#value] [#value]level[/#value] [#value]one[/#value] [#value]four[/#value] [#value]zero[/#value] [#command]maintain[/#command] [#command]contact[/#command] [#value]Geneva[/#value] [#value]arrival[/#value] [#value]one[/#value] [#value]three[/#value] [#value]six[/#value] [#value]two[/#value] [#value]five[/#value] [#value]five[/#value]', '[#nonenglish][NE-French]merci[/#nonenglish] [#nonenglish]au[/#nonenglish] [#nonenglish]plaisir[/#nonenglish] [#nonenglish]aurevoir[/NE][/#nonenglish]']"
LKPR_RUZYNE_Radar_120_520MHz_20201025_091112.wav,"['Oscar Kilo Papa Mike Bravo descend flight level one hundred', 'level one hundred Oscar Kilo Papa Mike Bravo']"
LSGS_SION_Tower_118_3MHz_20210503_152021.wav,"['[hes] [#command]next[/#command] [#command]is[/#command] [#value]bravo[/#value] [#callsign]Nav[/#callsign] [#callsign]Checker[/#callsign] [#callsign]Five[/#callsign] [#callsign]One[/#callsign] [#callsign]One[/#callsign]', '[#callsign]Nav[/#callsign] [#callsign]Checker[/#callsign] [#callsign]Five[/#callsign] [#callsign]One[/#callsign] [#callsign]One[/#callsign] [#unnamed]roger[/#unnamed] [#unnamed]QNH[/#unnamed] [#value]one[/#value] [#value]zero[/#value] [#value]one[/#value] [#value]seven[/#value] [#command]reported[/#command] [#value]in[/#value] [#value]and[/#value] [#value]go[/#value]']"
LSZB_BERN_Approach_127_3MHz_20210419_091544.wav,['Hotel Quebec Yankee crossing completed frequency change approved good bye']
LSZB_BERN_Approach_127_3MHz_20210414_061440.wav,['Quadriga One Six Three Foxtrot descend to flight level seven zero']
LSGS_SION_Ground_Control_121_7MHz_20210503_151530.wav,"['[#unnamed]say[/#unnamed] [#unnamed]again[/#unnamed] [#unnamed]can[/#unnamed] [#unnamed]you[/#unnamed] [#value]three[/#value] [#value]by[/#value] [#value]five[/#value] [#callsign]\xa0Heli\xa0[/#callsign] [#callsign]Hotel[/#callsign] [#callsign]Yankee[/#callsign]', '[#callsign]Heli[/#callsign] [#callsign]Hotel[/#callsign] [#callsign]Yankee\xa0[/#callsign] [#unnamed]QNH[/#unnamed] [#value]one[/#value] [#value]zero[/#value] [#value]one[/#value] [#value]seven[/#value] [#command]report[/#command] [#value]hotel[/#value] [#value]echo[/#value] [#value]or[/#value] [#value]golf[/#value] [#value]echo[/#value] [#value]at[/#value] [#value]your[/#value] [#value]discretion[/#value]']"
LKTB_BRNO_Tower_119_605MHz_20201027_122331.wav,['Romeo Alfa Zero One Eight One Seven your flight plan was suspended i am sending delay message']
LSGS_SION_Ground_Control_121_7MHz_20210422_061925.wav,['Heli Charlie Zulu roger report Ground completed']
LSZH_ZURICH_Ground_121_905MHz_20210414_041339.wav,"['\xa0Echo One Charlie go ahead', 'Echo One Charlie cleared to Madrid runway three two ready three november climb five thousand feet  squawk three zero zero two']"
LSZB_BERN_Approach_127_3MHz_20210416_084747.wav,['Hotel India Alpha until four miles maintain one hundred knots or greater']
LKPR_RUZYNE_Tower_134_560MHz_20201027_135214.wav,['Ryanair One Bravo Alfa stand five seven QNH one zero one two request engine start']
LKPR_RUZYNE_Tower_134_560MHz_20201029_205008.wav,"['Ruzyne Tower UPS Two Nine Five ILS two four nine miles', 'good evening UPS Two Nine Five Ruzyne Tower runway two four cleared to land wind two three zero degrees one three knots', 'runway two four cleared to land UPS Two Nine Five']"
LSZB_BERN_Tower_121_0MHz_20210425_084853.wav,"['[#callsign]Hotel[/#callsign] [#callsign]Charlie[/#callsign] [#callsign]Papa[/#callsign] [#command]below[/#command] [#value]flight[/#value] [#value]level[/#value] [#value]one[/#value] [#value]hundred[/#value]', '[#callsign]Hotel[/#callsign] [#callsign]Charlie[/#callsign] [#callsign]Papa[/#callsign] [#command]frequency[/#command] [#command]change[/#command] [#value]approved[/#value] [NE German] [#nonenglish]bis[/#nonenglish] [#nonenglish]später[/#nonenglish] [/NE]']"
LSZB_BERN_Tower_121_0MHz_20210414_081657.wav,['Hotel Echo Echo please control zone via route zulu wind zero four zero degrees seven knots runway one four cleared for takeoff']
